Id,Integration_Pattern__c,Integration_Pattern_Inbound__c,Name
a250l000000oAJrAAM,OBM,SYNC,UCBPMUNDERWRITING
a250l000000oAJsAAM,OBM,SYNC,RETRIGGER
a250l000000oAJtAAM,OBM,SYNC,CREATELOAN
a250l000000oAJuAAM,OBM,SYNC,UCCancelValuationTask
a250l000000oAJvAAM,OBM,SYNC,UCReallocationTask
a250l000000oAK3AAM,OBM,SYNC,FINANCIAL API
a250l000000oAKGAA2,OBM,SYNC,UpdateOfferCartDetails
a250l000000oAKHAA2,OBM,SYNC,VALIDATEOTP
a250l000000oAKIAA2,OBM,SYNC,UPDATEINCOMEDETAILS
a250l000000oAKJAA2,OBM,SYNC,GetSoSession
a250l000000oAKKAA2,OBM,SYNC,GetSoLoanDtls
a250l000000oAKLAA2,OBM,SYNC,eMandate
a250l000000oAKMAA2,OBM,SYNC,CALLBACK
a250l000000oAKQAA2,OBM,SYNC,BPMRESOLVEREJECT
a250l000000oAKRAA2,OBM,SYNC,BPMCPAUNHOLD
a250l000000oAKSAA2,OBM,SYNC,CSSendSMS_STATIC
a250l000000oAKTAA2,OBM,SYNC,SENDSMS-OWNERSHIP_STATIC
a250l000000oAKhAAM,OBM,SYNC,SENDSMS_IVR
a250l000000oAKiAAM,OBM,SYNC,VOICEOTP
a250l000000oAKjAAM,OBM,SYNC,JOCATA_NSDL_PAN
a250l000000oAKkAAM,OBM,SYNC,KARZA_NAME_MATCH
a250l000000oAKlAAM,OBM,SYNC,OBV_PRICE
a250l000000oAKmAAM,OBM,SYNC,RESENDOTP
a250l000000oAKnAAM,OBM,SYNC,GetLoanAppRecordstwo
a250l000000oAJMAA2,OBM,SYNC,SMSPull
a250l000000oAJNAA2,OBM,SYNC,PartnerDealer
a250l000000oAJOAA2,OBM,SYNC,HDFC_ISSUE
a250l000000oAJPAA2,OBM,SYNC,UPDATETOPUP
a250l000000oAJQAA2,OBM,SYNC,getAccessTokenPDService
a250l000000oAJiAAM,OBM,SYNC,getScanBasedSoUploadDocument
a250l000000oAJjAAM,OBM,SYNC,UploadDoc
a250l000000oAJkAAM,OBM,SYNC,ViewDoc
a250l000000oAJlAAM,OBM,SYNC,AppleValidateOTP
a250l000000oAJmAAM,OBM,SYNC,AppleEligibilityByID
a250l000000oAJwAAM,OBM,SYNC,UCValuationTaskCreation
a250l000000oAJxAAM,OBM,SYNC,submitValuation
a250l000000oAJyAAM,OBM,SYNC,KARZA_VAHAN_RC
a250l000000oAJzAAM,OBM,SYNC,Integration Callouts
a250l000000oAK0AAM,OBM,SYNC,UPDATELOAN
a250l000000oAK1AAM,OBM,SYNC,OnlineOTPRequest
a250l000000oAK2AAM,OBM,SYNC,OnlineOTPValidate
a250l000000oAJFAA2,OBM,SYNC,FINNONE
a250l000000oAJGAA2,OBM,SYNC,SERIALNUMBER
a250l000000oAJHAA2,OBM,SYNC,Document Related
a250l000000oAJIAA2,OBM,SYNC,EMAILVALIDATE_CONTACT
a250l000000oAJJAA2,OBM,SYNC,BPMDASUBMIT
a250l000000oAJKAA2,OBM,SYNC,EBC_SMSSEND_IVR
a250l000000oAJLAA2,OBM,SYNC,Send_Bulk_SMS_QMS
a250l000000oAJRAA2,OBM,SYNC,PDTaskCreation
a250l000000oAJSAA2,OBM,SYNC,PUSH_CASE_DATA_TO_FI_APP_NEW
a250l000000oAJTAA2,OBM,SYNC,BPMBilpilProcessor
a250l000000oAJUAA2,OBM,SYNC,BPMDATASYNC
a250l000000oAJVAA2,OBM,SYNC,STORE_APPLE_APPLICATION_STATUS
a250l000000oAJWAA2,OBM,SYNC,AppleSubmitApplication
a250l000000oAJXAA2,OBM,SYNC,AppleStatusRequest
a250l000000oAJYAA2,OBM,SYNC,AppleEligibilityByCard
a250l000000oAJZAA2,OBM,SYNC,AppleFinalizeApplication
a250l000000oAJaAAM,OBM,SYNC,AppleRequestOTP
a250l000000oAJbAAM,OBM,SYNC,AppleCancelApplication
a250l000000oAJcAAM,OBM,SYNC,PUSH_SFDCDETAILS_RCU
a250l000000oAJdAAM,OBM,SYNC,IRIS-2
a250l000000oAJeAAM,OBM,SYNC,FTSINSERT
a250l000000oAJfAAM,OBM,SYNC,FTS_GETLOAN_DETAILS
a250l000000oAJgAAM,OBM,SYNC,VIEWDOCUMENTSERVICE
a250l000000oAJhAAM,OBM,SYNC,GetScanBasedDocuments
a250l000000oAK4AAM,OBM,SYNC,CallbackAPI
a250l000000oAK5AAM,OBM,SYNC,CANCELLOAN
a250l000000oAK6AAM,OBM,SYNC,CheckApplicationStatus
a250l000000oAK7AAM,OBM,SYNC,CreatePaperLessLoan
a250l000000oAK8AAM,OBM,SYNC,EBCCardAPI
a250l000000oAK9AAM,OBM,SYNC,FetchDetails
a250l000000oAKAAA2,OBM,SYNC,FetchOffers
a250l000000oAKBAA2,OBM,SYNC,GetApproval
a250l000000oAKCAA2,OBM,SYNC,GETDETAILS
a250l000000oAKDAA2,OBM,SYNC,GETLOANDETAILS
a250l000000oAKEAA2,OBM,SYNC,REQUESTOTP
a250l000000oAKFAA2,OBM,SYNC,TRACKPROGRESS
a250l000000oAKNAA2,OBM,SYNC,EMAILVALIDATECS_STATIC
a250l000000oAKUAA2,OBM,SYNC,SENDSMS SBI_STATIC
a250l000000oAKVAA2,OBM,SYNC,SENDSMS_STATIC
a250l000000oAKWAA2,OBM,SYNC,EMAILWEBTABREPORT_IVR_BULK
a250l000000oAKXAA2,OBM,SYNC,CDRULE_WIP
a250l000000oAKYAA2,OBM,SYNC,POSIDEX_WIP
a250l000000oALiAAM,OBM,SYNC,EBCDetails
a250l000000oALjAAM,OBM,SYNC,CREATELOANDETAILS
a250l000000oALkAAM,OBM,SYNC,CS_EMANDATE_LINK
a250l000000oALlAAM,OBM,SYNC,GETSHORTURL
a250l000000oALmAAM,OBM,SYNC,UPDATESFDC
a250l000000oALnAAM,OBM,SYNC,SIGNDESK_GETDOCKET_ESB
a250l000000oALoAAM,OBM,SYNC,AadharMandate_Biometric
a250l000000oALpAAM,OBM,SYNC,AadharMandate_BiometricConfirmation
a250l000000oALqAAM,OBM,SYNC,Physical_NACH_Status
a250l000000oALrAAM,OBM,SYNC,KARZA_AADHAR_MASKING_ATTACH
a250l000000oALsAAM,OBM,SYNC,WHATSAPP_OPTIN
a250l000000oALuAAM,OBM,SYNC,Physical_NACH_Initiated
a250l000000oALvAAM,OBM,SYNC,JIO_POST_FINANCE_DETAILS
a250l000000oALwAAM,OBM,SYNC,TRACK_LOAN_STATUS
a250l000000oALxAAM,OBM,SYNC,KNOX_ACTIVATION
a250l000000oALyAAM,OBM,SYNC,FKCALLBACK
a250l000000oALzAAM,OBM,SYNC,GETSHORTURLCS
a250l000000oAM0AAM,OBM,SYNC,IMPS_FUNDTRANSFER
a250l000000oAM1AAM,OBM,SYNC,eSignDocketInfo
a250l000000oAM2AAM,OBM,SYNC,SENDSMS_DEL
a250l000000oAM3AAM,OBM,SYNC,SENDSMSDL_Inbound
a250l000000oAM4AAM,OBM,SYNC,PDApp_ViewCPVAgencyReview
a250l000000oAM5AAM,OBM,SYNC,PDApp_SubmitCPVAgencyReview
a250l000000oAM6AAM,OBM,SYNC,esignWidgetToken
a250l000000oAM7AAM,OBM,SYNC,ETB_CRM_LEAD_APP
a250l000000oAM8AAM,OBM,SYNC,BP_PhaseII_MAP_MODEL_TO_SCHEME
a250l000000oAM9AAM,OBM,SYNC,PosidexRefer
a250l000000oAMAAA2,OBM,SYNC,Esign
a250l000000oAMBAA2,OBM,SYNC,Esign_legaldesk
a250l000000oAMCAA2,OBM,SYNC,Estamp Acknowledgement
a250l000000oAMDAA2,OBM,SYNC,Estamp
a250l000000oAMEAA2,OBM,SYNC,JIO_CHECK_FINANCE_ELIGIBILITY
a250l000000oAMFAA2,OBM,SYNC,BP_PhaseII_BRAND_PORTAL_UPDATE
a250l000000oAMGAA2,OBM,SYNC,BP_PhaseII_BRAND_PORTAL_CREATE
a250l000000oAMHAA2,OBM,SYNC,Inbound_Wrapper
a250l000000oAMIAA2,OBM,SYNC,TS_RetryOTP
a250l000000oAMJAA2,OBM,SYNC,RELIANCE_INVOICE_DTLS
a250l000000oAKoAAM,OBM,SYNC,FINNONEFLEXMONEY
a250l000000oAKpAAM,OBM,SYNC,PUSH_APPLICATION_STATUS_TO_FLEXMONEY
a250l000000oAKqAAM,OBM,SYNC,SERVIFY_CREATE
a250l000000oAKrAAM,OBM,SYNC,SERVIFY_UPDATE
a250l000000oAKsAAM,OBM,SYNC,UpdateDetails
a250l000000oALJAA2,OBM,SYNC,FI_GETDOCUMENTSSERVICE
a250l000000oALKAA2,OBM,SYNC,ChangeStatusUserFI
a250l000000oALLAA2,OBM,SYNC,EMAIL_COMMUNICATION
a250l000000oALUAA2,OBM,SYNC,CANCELAPIPINELAB
a250l000000oALVAA2,OBM,SYNC,fetchPaperless
a250l000000oALWAA2,OBM,SYNC,createPaperless
a250l000000oALXAA2,OBM,SYNC,LMSVIEWBYLOAN
a250l000000oALYAA2,OBM,SYNC,VOICEOTP_APPLICANT_OFFER
a250l000000oALZAA2,OBM,SYNC,FETCHTOPUP
a250l000000oAKtAAM,OBM,SYNC,IDFC_STANDING_INSTRUCTION_API
a250l000000oAKuAAM,OBM,SYNC,SENDSMS_DL
a250l000000oAKvAAM,OBM,SYNC,ADV_GetValue
a250l000000oAKwAAM,OBM,SYNC,ADV_InsertToken
a250l000000oAKxAAM,OBM,SYNC,TS_GenerateOTP
a250l000000oAKyAAM,OBM,SYNC,TS_VerifyOTP
a250l000000oAKzAAM,OBM,SYNC,PartnerDealerConfirmation
a250l000000oAL0AAM,OBM,SYNC,CKYC_DOWNLOAD
a250l000000oAL1AAM,OBM,SYNC,CKYC_SEARCHV2
a250l000000oAL2AAM,OBM,SYNC,CONNECTOR
a250l000000oAL3AAM,OBM,SYNC,CONNECTOR_DASHBOARD
a250l000000oAL4AAM,OBM,SYNC,DASHBOARD_DETAIL
a250l000000oAL5AAM,OBM,SYNC,SFDC_MediaAgility
a250l000000oAL6AAM,OBM,SYNC,EKYC_CheckValidLoanID
a250l000000oAL7AAM,OBM,SYNC,FICO26_ATTACH
a250l000000oAL8AAM,OBM,SYNC,getDashboardFI
a250l000000oAL9AAM,OBM,SYNC,getToDoListFI
a250l000000oALAAA2,OBM,SYNC,URLSHORTENING
a250l000000oALBAA2,OBM,SYNC,IVRAUTOREQUEST
